ProductID,ProductName,Category,SubCategory,UnitCost,SupplierName,SaleID,OrderID,Quantity,UnitPrice,Discount,LineTotal,Margin,Revenue,TotalCost,Profit,PredictedLineTotal
PROD0001,Headphones,Electronics,Headphones,850.13,Massmart Group,SALE00025,ORD00013,1,1466.86,0.0,1466.86,616.7299999999999,1466.86,850.13,616.7299999999999,2485.793676122913
PROD0002,Bluetooth Speaker,Electronics,Bluetooth Speaker,410.85,Massmart Group,SALE00016,ORD00008,1,746.98,0.05,709.63,336.13,746.98,410.85,336.13,602.9133348251416
PROD0003,Smartphone Case,Electronics,Smartphone Case,669.04,Makro Wholesale,SALE00005,ORD00002,5,1220.01,0.0,6100.05,550.97,6100.05,3345.2,2754.8500000000004,5452.087609763221
PROD0004,Power Bank,Electronics,Power Bank,109.45,Local SA Traders,SALE00019,ORD00009,1,236.83,0.0,236.83,127.38000000000001,236.83,109.45,127.38000000000001,-747.6192666932993
PROD0005,USB-C Cable,Electronics,USB-C Cable,540.8,Builders Warehouse,SALE00027,ORD00014,1,686.66,0.05,652.33,145.86,686.66,540.8,145.86,172.08260954237858
PROD0006,Wireless Mouse,Electronics,Wireless Mouse,744.64,Game Distributors,SALE00072,ORD00033,5,1338.44,0.15,5688.37,593.8000000000001,6692.200000000001,3723.2,2969.000000000001,5756.390045908497
PROD0007,Keyboard,Electronics,Keyboard,439.34,Takealot Supply Co,SALE00013,ORD00006,3,821.1,0.0,2463.3,381.76000000000005,2463.3,1318.02,1145.2800000000002,2605.2203758905807
PROD0008,Monitor Stand,Electronics,Monitor Stand,187.9,Builders Warehouse,SALE00004,ORD00002,2,339.36,0.0,678.72,151.46,678.72,375.8,302.92,385.05840651008793
PROD0009,Kettle,Home & Kitchen,Kettle,738.39,Massmart Group,SALE00001,ORD00001,4,1602.75,0.15,5449.35,864.36,6411.0,2953.56,3457.44,5831.522565216881
PROD0010,Toaster,Home & Kitchen,Toaster,332.73,Builders Warehouse,SALE00010,ORD00004,1,521.27,0.0,521.27,188.53999999999996,521.27,332.73,188.53999999999996,-85.05320033747284
PROD0011,Blender,Home & Kitchen,Blender,121.0,Massmart Group,SALE00003,ORD00001,3,169.74,0.05,483.76,48.74000000000001,509.22,363.0,146.22000000000003,771.9874485924374
PROD0012,Air Fryer,Home & Kitchen,Air Fryer,633.5,Massmart Group,SALE00045,ORD00020,1,965.33,0.0,965.33,331.83000000000004,965.33,633.5,331.83000000000004,1027.6120935481222
PROD0013,Cookware Set,Home & Kitchen,Cookware Set,737.8,Massmart Group,SALE00023,ORD00011,6,1307.82,0.15,6669.88,570.02,7846.92,4426.799999999999,3420.120000000001,6547.423206116915
PROD0014,Coffee Machine,Home & Kitchen,Coffee Machine,106.61,Makro Wholesale,SALE00037,ORD00017,1,158.83,0.0,158.83,52.22000000000001,158.83,106.61,52.22000000000001,-1024.9194584833485
PROD0015,Running Shoes,Sportswear,Running Shoes,874.06,Local SA Traders,SALE00007,ORD00003,4,1428.18,0.0,5712.72,554.1200000000001,5712.72,3496.24,2216.4800000000005,4978.340190609086
PROD0016,Gym Bag,Sportswear,Gym Bag,747.69,Local SA Traders,SALE00030,ORD00015,4,935.43,0.0,3741.72,187.7399999999999,3741.72,2990.76,750.9599999999996,3404.0982894981744
PROD0017,Track Jacket,Sportswear,Track Jacket,431.92,Local SA Traders,SALE00015,ORD00008,3,562.14,0.0,1686.42,130.21999999999997,1686.42,1295.76,390.6600000000001,1681.2943940274563
PROD0018,Soccer Ball,Sportswear,Soccer Ball,344.75,Builders Warehouse,SALE00042,ORD00020,5,678.68,0.1,3054.06,333.92999999999995,3393.3999999999996,1723.75,1669.6499999999996,4026.32869894788
PROD0019,Yoga Mat,Sportswear,Yoga Mat,414.58,Takealot Supply Co,SALE00024,ORD00012,5,538.55,0.0,2692.75,123.96999999999997,2692.75,2072.9,619.8499999999999,3405.449232034567
PROD0020,Water Bottle,Sportswear,Water Bottle,507.82,Massmart Group,SALE00035,ORD00016,2,1082.31,0.15,1839.93,574.49,2164.62,1015.64,1148.98,2546.779204837315
PROD0021,Notebook,Office Supplies,Notebook,796.34,Makro Wholesale,SALE00080,ORD00037,1,1362.12,0.05,1294.01,565.7799999999999,1362.12,796.34,565.7799999999999,2195.2640144554134
PROD0022,Desk Organizer,Office Supplies,Desk Organizer,876.64,Game Distributors,SALE00012,ORD00005,6,1602.87,0.1,8655.5,726.2299999999999,9617.22,5259.84,4357.379999999999,7386.60955635706
PROD0023,Printer Paper,Office Supplies,Printer Paper,647.51,Makro Wholesale,SALE00014,ORD00007,2,1000.54,0.0,2001.08,353.03,2001.08,1295.02,706.06,2022.4631291175374
PROD0024,Stapler,Office Supplies,Stapler,510.46,Makro Wholesale,SALE00077,ORD00035,6,683.28,0.1,3689.71,172.82,4099.68,3062.7599999999998,1036.9200000000005,4662.128347326102
PROD0025,Whiteboard,Office Supplies,Whiteboard,431.46,Game Distributors,SALE00048,ORD00022,2,587.47,0.0,1174.94,156.01000000000005,1174.94,862.92,312.0200000000001,883.0927137586223
PROD0026,Pen Set,Office Supplies,Pen Set,463.59,Local SA Traders,SALE00011,ORD00005,3,895.09,0.15,2282.48,431.50000000000006,2685.27,1390.77,1294.5,2832.9672315323896
PROD0027,Rooibos Tea Box,Groceries,Rooibos Tea Box,643.71,Massmart Group,SALE00021,ORD00010,2,1058.72,0.0,2117.44,415.01,2117.44,1287.42,830.02,2238.9917360235477
PROD0028,Maize Meal 5kg,Groceries,Maize Meal 5kg,882.81,Local SA Traders,SALE00002,ORD00001,6,1307.92,0.0,7847.52,425.1100000000001,7847.52,5296.86,2550.6600000000008,6310.335489750478
PROD0029,Cooking Oil 2L,Groceries,Cooking Oil 2L,155.84,Local SA Traders,SALE00029,ORD00014,5,223.02,0.05,1059.34,67.18,1115.1000000000001,779.2,335.9000000000001,2688.565153013843
PROD0030,Rice 5kg,Groceries,Rice 5kg,472.17,Makro Wholesale,SALE00053,ORD00024,2,984.64,0.1,1772.35,512.47,1969.28,944.34,1024.94,2252.102170621998
PROD0031,Sugar 2kg,Groceries,Sugar 2kg,270.34,Massmart Group,SALE00006,ORD00002,2,540.82,0.0,1081.64,270.4800000000001,1081.64,540.68,540.9600000000002,978.2933625895121
