SaleID,OrderID,ProductID,Quantity,UnitPrice,Discount,LineTotal
SALE00001,ORD00001,PROD0009,4,1602.75,0.15,5449.35
SALE00002,ORD00001,PROD0028,6,1307.92,0.0,7847.52
SALE00003,ORD00001,PROD0011,3,169.74,0.05,483.76
SALE00004,ORD00002,PROD0008,2,339.36,0.0,678.72
SALE00005,ORD00002,PROD0003,5,1220.01,0.0,6100.05
SALE00006,ORD00002,PROD0031,2,540.82,0.0,1081.64
SALE00007,ORD00003,PROD0015,4,1428.18,0.0,5712.72
SALE00008,ORD00003,PROD0011,5,169.74,0.0,848.7
SALE00009,ORD00004,PROD0015,4,1428.18,0.0,5712.72
SALE00010,ORD00004,PROD0010,1,521.27,0.0,521.27
SALE00011,ORD00005,PROD0026,3,895.09,0.15,2282.48
SALE00012,ORD00005,PROD0022,6,1602.87,0.1,8655.5
SALE00013,ORD00006,PROD0007,3,821.1,0.0,2463.3
SALE00014,ORD00007,PROD0023,2,1000.54,0.0,2001.08
SALE00015,ORD00008,PROD0017,3,562.14,0.0,1686.42
SALE00016,ORD00008,PROD0002,1,746.98,0.05,709.63
SALE00017,ORD00008,PROD0022,4,1602.87,0.1,5770.33
SALE00018,ORD00008,PROD0010,6,521.27,0.1,2814.86
SALE00019,ORD00009,PROD0004,1,236.83,0.0,236.83
SALE00020,ORD00009,PROD0015,1,1428.18,0.0,1428.18
SALE00021,ORD00010,PROD0027,2,1058.72,0.0,2117.44
SALE00022,ORD00011,PROD0027,3,1058.72,0.15,2699.74
SALE00023,ORD00011,PROD0013,6,1307.82,0.15,6669.88
SALE00024,ORD00012,PROD0019,5,538.55,0.0,2692.75
SALE00025,ORD00013,PROD0001,1,1466.86,0.0,1466.86
SALE00026,ORD00014,PROD0026,3,895.09,0.0,2685.27
SALE00027,ORD00014,PROD0005,1,686.66,0.05,652.33
SALE00028,ORD00014,PROD0003,1,1220.01,0.0,1220.01
SALE00029,ORD00014,PROD0029,5,223.02,0.05,1059.34
SALE00030,ORD00015,PROD0016,4,935.43,0.0,3741.72
SALE00031,ORD00015,PROD0001,3,1466.86,0.0,4400.58
SALE00032,ORD00015,PROD0013,2,1307.82,0.0,2615.64
SALE00033,ORD00015,PROD0022,3,1602.87,0.05,4568.18
SALE00034,ORD00016,PROD0002,5,746.98,0.1,3361.41
SALE00035,ORD00016,PROD0020,2,1082.31,0.15,1839.93
SALE00036,ORD00017,PROD0016,5,935.43,0.05,4443.29
SALE00037,ORD00017,PROD0014,1,158.83,0.0,158.83
SALE00038,ORD00017,PROD0029,3,223.02,0.05,635.61
SALE00039,ORD00018,PROD0014,6,158.83,0.1,857.68
SALE00040,ORD00018,PROD0007,2,821.1,0.15,1395.87
SALE00041,ORD00019,PROD0013,6,1307.82,0.0,7846.92
SALE00042,ORD00020,PROD0018,5,678.68,0.1,3054.06
SALE00043,ORD00020,PROD0026,3,895.09,0.05,2551.01
SALE00044,ORD00020,PROD0016,3,935.43,0.0,2806.29
SALE00045,ORD00020,PROD0012,1,965.33,0.0,965.33
SALE00046,ORD00021,PROD0001,3,1466.86,0.0,4400.58
SALE00047,ORD00021,PROD0029,4,223.02,0.1,802.87
SALE00048,ORD00022,PROD0025,2,587.47,0.0,1174.94
SALE00049,ORD00022,PROD0019,2,538.55,0.15,915.53
SALE00050,ORD00022,PROD0008,2,339.36,0.0,678.72
SALE00051,ORD00023,PROD0025,2,587.47,0.1,1057.45
SALE00052,ORD00024,PROD0012,2,965.33,0.0,1930.66
SALE00053,ORD00024,PROD0030,2,984.64,0.1,1772.35
SALE00054,ORD00024,PROD0027,3,1058.72,0.15,2699.74
SALE00055,ORD00024,PROD0028,6,1307.92,0.0,7847.52
SALE00056,ORD00025,PROD0023,6,1000.54,0.0,6003.24
SALE00057,ORD00026,PROD0019,2,538.55,0.05,1023.24
SALE00058,ORD00026,PROD0031,5,540.82,0.0,2704.1
SALE00059,ORD00027,PROD0016,1,935.43,0.0,935.43
SALE00060,ORD00027,PROD0002,2,746.98,0.1,1344.56
SALE00061,ORD00028,PROD0001,4,1466.86,0.0,5867.44
SALE00062,ORD00028,PROD0017,3,562.14,0.1,1517.78
SALE00063,ORD00029,PROD0026,3,895.09,0.15,2282.48
SALE00064,ORD00029,PROD0005,2,686.66,0.0,1373.32
SALE00065,ORD00030,PROD0001,2,1466.86,0.1,2640.35
SALE00066,ORD00031,PROD0025,5,587.47,0.0,2937.35
SALE00067,ORD00031,PROD0004,1,236.83,0.0,236.83
SALE00068,ORD00032,PROD0019,3,538.55,0.0,1615.65
SALE00069,ORD00032,PROD0004,2,236.83,0.15,402.61
SALE00070,ORD00032,PROD0011,4,169.74,0.15,577.12
SALE00071,ORD00032,PROD0010,4,521.27,0.15,1772.32
SALE00072,ORD00033,PROD0006,5,1338.44,0.15,5688.37
SALE00073,ORD00033,PROD0023,5,1000.54,0.0,5002.7
SALE00074,ORD00033,PROD0031,2,540.82,0.15,919.39
SALE00075,ORD00034,PROD0013,6,1307.82,0.15,6669.88
SALE00076,ORD00034,PROD0010,3,521.27,0.0,1563.81
SALE00077,ORD00035,PROD0024,6,683.28,0.1,3689.71
SALE00078,ORD00035,PROD0001,4,1466.86,0.1,5280.7
